ImageUniqueID,xmin,ymin,xmax,ymax
2831357312-358980,0.156250,0.053571,0.678571,0.995536
2238263029-85634,0.120536,0.138393,0.821429,0.883929
2430667475-197080,0.321429,0.357143,0.857143,0.790179
2458346865-199590,0.187500,0.107143,0.709821,0.553571
2862684384-136758,0.388393,0.419643,0.897321,0.825893
2238180039-83230,0.049107,0.151786,0.933036,0.857143
2981236314-145580,0.236607,0.044643,0.607143,0.575893
2351006712-340018,0.316964,0.267857,0.866071,0.611607
2238350621-235228,0.080357,0.263393,0.995536,0.950893
2898617440-216505,0.098214,0.120536,0.830357,0.647321
2430666164-122718,0.241071,0.276786,0.866071,0.602679
2238467283-17958,0.160714,0.196429,0.830357,0.848214
2883259379-141204,0.044643,0.187500,0.571429,0.696429
2901945367-368199,0.236607,0.227679,0.968750,0.500000
2860301367-360235,0.049107,0.187500,0.714286,0.964286
2237913594-77260,0.218750,0.232143,0.763393,0.750000
2331571199-116132,0.232143,0.022321,0.691964,0.607143
2238394254-88904,0.370536,0.111607,0.678571,0.781250
2901935330-217490,0.299107,0.254464,0.616071,0.879464
2449443388-50148,0.205357,0.040179,0.879464,0.941964
2427873336-269694,0.004464,0.200893,0.651786,0.933036
2238370374-87904,0.178571,0.058036,0.678571,0.754464
2862701306-286432,0.183036,0.325893,0.745536,0.580357
2238569826-257743,0.316964,0.049107,0.897321,0.866071
2238536479-103305,0.410714,0.214286,0.674107,0.687500
2862696368-63221,0.191964,0.267857,0.848214,0.790179
2238507235-172226,0.272321,0.102679,0.633929,0.571429
2238572677-333652,0.232143,0.125000,0.875000,0.950893
2425495733-46666,0.334821,0.214286,0.723214,0.816964
2542590675-201899,0.098214,0.232143,0.683036,0.883929
2238405150-163477,0.187500,0.254464,0.651786,0.995536
2883264545-215908,0.089286,0.151786,0.629464,0.941964
2238511728-24813,0.084821,0.281250,0.790179,0.995536
2238435175-164616,0.116071,0.375000,0.995536,0.678571
2862690422-360967,0.446429,0.071429,0.839286,0.620536
2864902332-361775,0.165179,0.071429,0.656250,0.589286
2237961993-4724,0.089286,0.205357,0.866071,0.718750
2238481437-317499,0.053571,0.187500,0.683036,0.803571
2238503051-245501,0.294643,0.120536,0.964286,0.629464
2424123282-343389,0.250000,0.071429,0.638393,0.705357
2238526969-101218,0.339286,0.017857,0.803571,0.910714
2238152582-305547,0.267857,0.098214,0.705357,0.879464
2446760885-198129,0.330357,0.214286,0.982143,0.857143
2238521805-174521,0.267857,0.160714,0.709821,0.825893
2238504527-321082,0.125000,0.232143,0.723214,0.834821
2238459309-91709,0.125000,0.343750,0.933036,0.968750
2901937405-217657,0.205357,0.142857,0.642857,0.741071
2446759128-49083,0.116071,0.151786,0.888393,0.928571
2883258442-365214,0.406250,0.107143,0.803571,0.830357
2273187801-263317,0.299107,0.111607,0.741071,0.678571
2238557795-181566,0.303571,0.294643,0.732143,0.843750
2238496474-96243,0.120536,0.053571,0.714286,0.933036
2238507964-98175,0.267857,0.089286,0.691964,0.866071
2238087509-80290,0.321429,0.125000,0.812500,0.799107
2238182805-157339,0.236607,0.218750,0.754464,0.736607
2818074333-59950,0.375000,0.040179,0.875000,0.803571
2238466005-166288,0.281250,0.125000,0.933036,0.892857
2238534695-177078,0.062500,0.196429,0.848214,0.647321
2238474168-18879,0.214286,0.200893,0.991071,0.785714
2238582890-186668,0.151786,0.357143,0.906250,0.754464
2238477393-19214,0.236607,0.258929,0.821429,0.897321
2332528077-339718,0.334821,0.272321,0.745536,0.656250
2238384481-236727,0.433036,0.196429,0.687500,0.683036
2238495544-96082,0.160714,0.200893,0.839286,0.892857
2238577918-37105,0.026786,0.187500,0.660714,0.700893
2238413245-163793,0.299107,0.138393,0.683036,0.812500
2238146145-155717,0.357143,0.299107,0.651786,0.982143
2981246390-220360,0.464286,0.058036,0.870536,0.669643
2238508761-246454,0.151786,0.196429,0.660714,0.870536
2898635311-292049,0.303571,0.227679,0.892857,0.875000
2818064336-282670,0.102679,0.308036,0.901786,0.727679
2238496886-244487,0.419643,0.008929,0.745536,0.861607
2864898377-361590,0.241071,0.129464,0.754464,0.683036
2238479069-93608,0.236607,0.107143,0.750000,0.937500
2237913963-2859,0.312500,0.191964,0.848214,0.799107
2238539359-103986,0.111607,0.312500,0.816964,0.808036
2238582306-260661,0.165179,0.053571,0.959821,0.915179
2237961362-302294,0.133929,0.196429,0.910714,0.754464
2238119657-303780,0.165179,0.022321,0.892857,0.790179
2864899382-361652,0.321429,0.325893,0.754464,0.709821
2382324641-265461,0.142857,0.419643,0.933036,0.825893
2864897391-286613,0.169643,0.111607,0.687500,0.870536
2238560143-33605,0.125000,0.441964,0.995536,0.924107
2238569647-333147,0.258929,0.196429,0.888393,0.736607
2238578571-259685,0.062500,0.258929,0.616071,0.745536
2424121784-119728,0.044643,0.040179,0.727679,0.736607
2238555487-330342,0.125000,0.236607,0.883929,0.696429
2449442815-198619,0.004464,0.200893,0.674107,0.973214
2238572391-258199,0.299107,0.558036,0.745536,0.790179
2864898380-211995,0.151786,0.178571,0.879464,0.839286
2427873533-47234,0.174107,0.107143,0.870536,0.772321
2238554713-32449,0.062500,0.343750,0.803571,0.892857
2238219768-10934,0.125000,0.142857,0.651786,0.709821
2383042904-117720,0.651786,0.178571,0.977679,0.691964
2238051732-303085,0.062500,0.299107,0.642857,0.986607
2238555393-32578,0.133929,0.196429,0.642857,0.611607
2860310414-136617,0.227679,0.218750,0.696429,0.785714
2816364337-357536,0.093750,0.183036,0.883929,0.825893
2874309545-214665,0.258929,0.285714,0.825893,0.700893
2821591340-208728,0.044643,0.303571,0.861607,0.723214
2238576472-334583,0.120536,0.107143,0.714286,0.808036
2812990337-357151,0.058036,0.058036,0.790179,0.861607
2238383772-311915,0.330357,0.232143,0.781250,0.986607
2238522883-26530,0.267857,0.303571,0.656250,0.785714
2425494214-120827,0.107143,0.348214,0.665179,0.977679
2651214309-132928,0.156250,0.357143,0.540179,0.950893
2901945379-143938,0.129464,0.111607,0.825893,0.816964
2856926316-284877,0.227679,0.321429,0.790179,0.674107
2413147519-117867,0.035714,0.089286,0.875000,0.933036
2421821516-267267,0.227679,0.160714,0.906250,0.691964
2868479319-139068,0.196429,0.147321,0.808036,0.647321
2238355170-161339,0.111607,0.232143,0.790179,0.879464
2238220656-233451,0.169643,0.196429,0.995536,0.843750
2864913382-362358,0.209821,0.165179,0.727679,0.879464
2831359322-359008,0.053571,0.321429,0.767857,0.995536
2238559086-255727,0.151786,0.241071,0.607143,0.727679
2424122462-343228,0.375000,0.174107,0.830357,0.830357
2238562609-108465,0.214286,0.160714,0.861607,0.691964
2818065330-208296,0.129464,0.196429,0.691964,0.968750
2901948568-70420,0.089286,0.160714,0.933036,0.620536
2238560442-331481,0.303571,0.147321,0.678571,0.799107
2238496818-22326,0.339286,0.303571,0.674107,0.808036
2238347317-310229,0.098214,0.142857,0.763393,0.794643
2901936469-143272,0.000000,0.125000,0.687500,0.968750
2620437301-280636,0.089286,0.169643,0.616071,0.794643
2964224464-145197,0.446429,0.142857,0.790179,0.678571
2382324695-191318,0.138393,0.330357,0.803571,0.754464
2238469101-240661,0.267857,0.125000,0.678571,0.723214
2816361340-208034,0.160714,0.227679,0.647321,0.933036
2449441840-198332,0.093750,0.178571,0.915179,0.763393
2332527998-41976,0.151786,0.303571,0.745536,0.696429
2417207228-44369,0.066964,0.375000,0.848214,0.781250
2383042538-43236,0.250000,0.348214,0.861607,0.875000
2238493340-169982,0.093750,0.276786,0.937500,0.696429
2901933469-143023,0.035714,0.205357,0.857143,0.897321
2238197706-232258,0.053571,0.191964,0.919643,0.816964
2868485472-363546,0.232143,0.250000,0.803571,0.714286
2424122082-343157,0.169643,0.379464,0.825893,0.723214
2901945400-218259,0.321429,0.370536,0.879464,0.758929
2964216445-219237,0.102679,0.223214,0.843750,0.767857
2237961004-79086,0.232143,0.276786,0.897321,0.678571
2238557992-330947,0.232143,0.022321,0.584821,0.968750
2382321264-117114,0.303571,0.357143,0.799107,0.825893
2860306366-285438,0.196429,0.196429,0.964286,0.718750
2238484898-20396,0.232143,0.178571,0.924107,0.825893
2238591623-39371,0.276786,0.272321,0.834821,0.647321
2238532739-102486,0.316964,0.357143,0.607143,0.816964
2238093546-228452,0.200893,0.093750,0.839286,0.714286
2981236314-145577,0.098214,0.049107,0.821429,0.535714
2238449983-17112,0.066964,0.361607,0.875000,0.741071
2238528982-325203,0.232143,0.160714,0.517857,0.901786
2425495217-344332,0.093750,0.178571,0.758929,0.598214
2238160856-230675,0.294643,0.183036,0.665179,0.995536
2238469671-240719,0.196429,0.267857,0.531250,0.790179
2238472037-316343,0.053571,0.165179,0.825893,0.678571
2238214236-232965,0.321429,0.111607,0.575893,0.718750
2868479340-213408,0.200893,0.334821,0.906250,0.700893
2874312443-66576,0.254464,0.245536,0.767857,0.647321
2424125011-268464,0.093750,0.205357,0.830357,0.687500
2238215800-158995,0.245536,0.196429,0.861607,0.861607
2864901337-361725,0.071429,0.375000,0.875000,0.727679
2238495065-170157,0.250000,0.290179,0.674107,0.785714
2238564424-108841,0.312500,0.325893,0.732143,0.781250
2238072450-154077,0.125000,0.250000,0.763393,0.678571
2332527751-264502,0.290179,0.111607,0.678571,0.611607
2237915957-300611,0.200893,0.013393,0.785714,0.625000
2238317155-159957,0.285714,0.223214,0.803571,0.772321
2238345940-160825,0.357143,0.236607,0.946429,0.843750
2237918896-225535,0.258929,0.227679,0.781250,0.933036
2413147727-341217,0.325893,0.308036,0.669643,0.812500
2901943439-143801,0.174107,0.098214,0.848214,0.602679
2238556072-330449,0.379464,0.392857,0.767857,0.928571
2238396961-237190,0.151786,0.290179,0.915179,0.660714
2382319269-116999,0.044643,0.022321,0.861607,0.870536
2238481173-19815,0.013393,0.312500,0.616071,0.647321
2883257418-67182,0.138393,0.156250,0.785714,0.785714
2238556474-107065,0.299107,0.089286,0.857143,0.718750
2238520977-323747,0.196429,0.303571,0.723214,0.812500
2864902405-212194,0.066964,0.245536,0.812500,0.736607
2898617398-68249,0.200893,0.254464,0.750000,0.995536
2238556474-107063,0.276786,0.191964,0.843750,0.669643
2238213019-84736,0.312500,0.446429,0.915179,0.866071
2238151159-82182,0.196429,0.312500,0.830357,0.933036
2238553929-106619,0.049107,0.160714,0.892857,0.861607
2818070313-59878,0.236607,0.290179,0.883929,0.678571
2989731328-74171,0.178571,0.227679,0.714286,0.602679
2238438767-314241,0.089286,0.562500,0.656250,0.790179
2238496463-22258,0.339286,0.191964,0.642857,0.745536
2430667169-122977,0.066964,0.357143,0.508929,0.647321
2868479433-65212,0.080357,0.348214,0.696429,0.750000
2238508093-24229,0.107143,0.250000,0.732143,0.897321
2425493079-120611,0.044643,0.062500,0.709821,0.834821
2608812131-280197,0.160714,0.031250,0.857143,0.888393
2382322400-191171,0.285714,0.156250,0.857143,0.736607
2238519827-323567,0.227679,0.397321,0.718750,0.794643
2237950192-301656,0.062500,0.464286,0.830357,0.928571
2238210068-10255,0.267857,0.142857,0.790179,0.732143
2237961287-302287,0.227679,0.142857,0.602679,0.714286
2452380463-50583,0.267857,0.080357,0.955357,0.964286
2238568286-257479,0.035714,0.375000,0.803571,0.754464
2868485462-363544,0.321429,0.196429,0.821429,0.669643
2430665791-270689,0.276786,0.138393,0.995536,0.758929
2238180530-157198,0.223214,0.040179,0.830357,0.745536
2382320312-340385,0.303571,0.151786,0.660714,0.790179
2512875966-274912,0.267857,0.049107,0.767857,0.959821
2430663938-47756,0.299107,0.281250,0.843750,0.660714
2238552479-106360,0.227679,0.044643,0.709821,0.513393
2238495792-319624,0.196429,0.308036,0.821429,0.897321
2238509247-321859,0.267857,0.205357,0.776786,0.852679
2874312386-289532,0.294643,0.227679,0.633929,0.933036
2238557297-330793,0.258929,0.156250,0.709821,0.808036
2238523458-26603,0.169643,0.160714,0.767857,0.812500
2238180501-231327,0.142857,0.169643,0.928571,0.620536
2874308448-66342,0.049107,0.566964,0.825893,0.906250
2238328643-11689,0.214286,0.156250,0.593750,0.816964
2413147902-341257,0.263393,0.165179,0.589286,0.495536
2413150045-192428,0.303571,0.169643,0.665179,0.830357
2238496863-22334,0.285714,0.133929,0.857143,0.924107
2862687391-285838,0.339286,0.303571,0.616071,0.674107
2238210251-232745,0.098214,0.089286,0.906250,0.995536
2238548479-105221,0.205357,0.200893,0.767857,0.861607
2238501416-245246,0.334821,0.223214,0.794643,0.763393
2430666758-48401,0.178571,0.357143,0.714286,0.651786
2816358332-357442,0.160714,0.254464,0.910714,0.852679
2238128211-228894,0.366071,0.330357,0.665179,0.754464
2981228447-369580,0.191964,0.334821,0.750000,0.888393
2238555913-32674,0.232143,0.361607,0.633929,0.683036
2608812131-280194,0.357143,0.339286,0.955357,0.946429
2424124344-120228,0.160714,0.191964,0.928571,0.660714
2964215364-144852,0.263393,0.084821,0.696429,0.754464
2238181815-157270,0.267857,0.209821,0.660714,0.732143
2238496697-319801,0.214286,0.178571,0.700893,0.915179
2901951465-218731,0.156250,0.071429,0.691964,0.566964
2964217415-219270,0.339286,0.223214,0.709821,0.633929
2238324078-11610,0.232143,0.183036,0.964286,0.754464
2238163657-306042,0.267857,0.107143,0.790179,0.968750
2238143955-155527,0.142857,0.232143,0.714286,0.785714
2238496495-170440,0.089286,0.290179,0.821429,0.825893
2238420439-89828,0.160714,0.120536,0.852679,0.754464
2238389727-312213,0.111607,0.250000,0.741071,0.991071
2238494000-170046,0.227679,0.089286,0.758929,0.531250
2238548715-179538,0.250000,0.178571,0.718750,0.745536
2874317396-289814,0.303571,0.093750,0.928571,0.950893
2238503427-320880,0.357143,0.147321,0.834821,0.785714
2238553430-180711,0.174107,0.116071,0.857143,0.678571
2446757970-197328,0.290179,0.441964,0.781250,0.772321
2238383219-88410,0.129464,0.035714,0.625000,0.656250
2238568470-183565,0.129464,0.245536,0.745536,0.723214
2864907353-64056,0.120536,0.419643,0.741071,0.745536
2238526727-324734,0.160714,0.187500,0.937500,0.825893
2446758013-48782,0.160714,0.303571,0.709821,0.803571
2874300386-288824,0.370536,0.330357,0.674107,0.955357
2851417316-284243,0.250000,0.111607,0.897321,0.995536
2981229354-145302,0.102679,0.147321,0.830357,0.745536
2868472538-64782,0.107143,0.361607,0.941964,0.941964
2238185520-157512,0.263393,0.245536,0.861607,0.714286
2964208364-144612,0.245536,0.035714,0.808036,0.647321
2238556739-107113,0.084821,0.214286,0.669643,0.808036
2238510301-246767,0.294643,0.107143,0.861607,0.946429
2238526225-175299,0.348214,0.281250,0.754464,0.754464
2238160366-230653,0.303571,0.008929,0.875000,0.986607
2294394923-41291,0.089286,0.303571,0.933036,0.892857
2238482550-168371,0.410714,0.334821,0.968750,0.875000
2238090082-303515,0.107143,0.299107,0.732143,0.754464
2238496106-244332,0.098214,0.232143,0.964286,0.718750
2427872472-344744,0.321429,0.125000,0.651786,0.687500
2413149133-43820,0.102679,0.370536,0.580357,0.852679
2984619347-370622,0.156250,0.133929,0.602679,0.955357
2238510841-246853,0.334821,0.160714,0.843750,0.839286
2238551871-254269,0.071429,0.232143,0.647321,0.843750
2238475924-93199,0.263393,0.017857,0.629464,0.696429
2238512680-173164,0.294643,0.263393,0.736607,0.821429
2238346993-12530,0.062500,0.214286,0.830357,0.852679
2984626311-295915,0.254464,0.209821,0.709821,0.897321
2898630412-366910,0.236607,0.258929,0.696429,0.879464
2427874232-345150,0.200893,0.183036,0.776786,0.584821
2238494506-244060,0.044643,0.178571,0.709821,0.754464
2237962562-302352,0.075893,0.120536,0.790179,0.616071
2417206419-118580,0.441964,0.035714,0.928571,0.861607
2238560985-182255,0.102679,0.303571,0.620536,0.915179
2238214333-10554,0.093750,0.254464,0.535714,0.665179
2860305308-62339,0.281250,0.093750,0.616071,0.683036
2238550767-329390,0.160714,0.366071,0.754464,0.754464
2383042922-341025,0.361607,0.084821,0.955357,0.611607
2424121990-193884,0.227679,0.125000,0.888393,0.937500
2238506894-97977,0.392857,0.258929,0.870536,0.674107
2238436632-314070,0.044643,0.058036,0.750000,0.727679
2237852381-222756,0.053571,0.022321,0.977679,0.888393
2237941951-226135,0.285714,0.236607,0.758929,0.705357
2238374525-162151,0.370536,0.321429,0.691964,0.745536
2874312511-289559,0.133929,0.183036,0.875000,0.763393
2238500340-171096,0.321429,0.205357,0.665179,0.754464
2238419467-313296,0.392857,0.303571,0.790179,0.879464
2351006814-116713,0.160714,0.236607,0.562500,0.821429
2237885288-2661,0.066964,0.066964,0.941964,0.584821
2382321451-265302,0.281250,0.218750,0.772321,0.723214
2868486310-213844,0.330357,0.058036,0.709821,0.816964
2237943840-151989,0.156250,0.071429,0.647321,0.825893
2427872807-344844,0.205357,0.049107,0.651786,0.790179
2238418625-163898,0.120536,0.245536,0.794643,0.745536
2238495196-244176,0.125000,0.125000,0.763393,0.776786
2238498337-320145,0.267857,0.125000,0.674107,0.897321
2427873900-195787,0.241071,0.312500,0.901786,0.870536
2237901267-300359,0.178571,0.169643,0.830357,0.933036
2238503888-23520,0.392857,0.196429,0.852679,0.723214
2901950558-70570,0.165179,0.437500,0.883929,0.857143
2238570008-35398,0.160714,0.169643,0.879464,0.656250
2351006304-116589,0.142857,0.187500,0.732143,0.995536
2238511502-322263,0.169643,0.084821,0.892857,0.870536
2964209307-368890,0.053571,0.133929,0.937500,0.803571
2818073333-59935,0.200893,0.250000,0.821429,0.745536
2238530991-250220,0.267857,0.250000,0.852679,0.651786
2427873239-121585,0.321429,0.232143,0.861607,0.772321
2862701417-361433,0.303571,0.290179,0.683036,0.620536
2238214069-84819,0.196429,0.294643,0.647321,0.638393
2984625367-370836,0.428571,0.053571,0.718750,0.727679
2238500832-320554,0.017857,0.062500,0.602679,0.915179
2238524932-324420,0.053571,0.156250,0.727679,0.714286
2446757965-197325,0.178571,0.236607,0.906250,0.977679
2238558749-107600,0.361607,0.151786,0.660714,0.919643
2238219679-85281,0.258929,0.383929,0.736607,0.839286
2898631313-68881,0.366071,0.178571,0.794643,0.714286
2238201653-9983,0.147321,0.196429,0.727679,0.558036
2883256392-365082,0.276786,0.227679,0.937500,0.995536
2237912323-2806,0.232143,0.035714,0.571429,0.607143
2238510151-246734,0.017857,0.066964,0.968750,0.919643
2862703418-63531,0.330357,0.169643,0.754464,0.785714
2238575082-334266,0.218750,0.111607,0.758929,0.816964
2818067324-133991,0.165179,0.142857,0.741071,0.941964
2238506067-321302,0.129464,0.321429,0.718750,0.808036
2332528850-190512,0.187500,0.089286,0.821429,0.736607
2237855975-149356,0.236607,0.111607,0.767857,0.607143
2413149235-192280,0.379464,0.281250,0.821429,0.790179
2874318306-289847,0.080357,0.209821,0.946429,0.678571
2238538946-252058,0.116071,0.142857,0.607143,0.647321
2238436503-16377,0.258929,0.013393,0.883929,0.982143
2238182542-306717,0.312500,0.281250,0.785714,0.763393
2883258460-215500,0.250000,0.178571,0.781250,0.790179
2238496775-170499,0.223214,0.111607,0.959821,0.758929
2238557971-255461,0.049107,0.379464,0.825893,0.986607
2860302407-360279,0.125000,0.250000,0.803571,0.674107
2238346379-86770,0.089286,0.111607,0.897321,0.683036
2984627320-220886,0.227679,0.191964,0.714286,0.825893
2984629311-296014,0.397321,0.343750,0.709821,0.607143
2984624338-72743,0.058036,0.040179,0.995536,0.950893
2238514604-99257,0.116071,0.227679,0.790179,0.906250
2238578598-37263,0.303571,0.214286,0.625000,0.589286
2238570038-35404,0.160714,0.236607,0.669643,0.745536
2332527431-264397,0.008929,0.089286,0.883929,0.892857
2818075329-134139,0.321429,0.200893,0.897321,0.718750
2238525479-100973,0.187500,0.165179,0.727679,0.799107
2237852476-222773,0.227679,0.241071,0.839286,0.714286
2898627315-216923,0.294643,0.218750,0.799107,0.665179
2238218158-10824,0.316964,0.125000,0.656250,0.549107
2238146843-7595,0.223214,0.125000,0.816964,0.995536
2862692380-211435,0.250000,0.156250,0.620536,0.995536
2818064336-282669,0.098214,0.147321,0.723214,0.959821
