species,genus,family,mivs
Amerotyphlops tasymicris,Amerotyphlops,Typhlopidae,0
Amerotyphlops tenuis,Amerotyphlops,Typhlopidae,0
Amerotyphlops trinitatus,Amerotyphlops,Typhlopidae,0
Amerotyphlops tycherus,Amerotyphlops,Typhlopidae,0
Amerotyphlops yonenagae,Amerotyphlops,Typhlopidae,0
Amnesteophis melanauchen,Amnesteophis,Colubridae,0
Amphiesma stolatum,Amphiesma,Colubridae,0
Amphiesmoides ornaticeps,Amphiesmoides,Colubridae,0
Amplorhinus multimaculatus,Amplorhinus,Lamprophiidae,0
Anilios affinis,Anilios,Typhlopidae,0
Anilios ammodytes,Anilios,Typhlopidae,0
Anilios aspina,Anilios,Typhlopidae,0
Anilios australis,Anilios,Typhlopidae,0
Anilios batillus,Anilios,Typhlopidae,0
Anilios bicolor,Anilios,Typhlopidae,0
Anilios bituberculatus,Anilios,Typhlopidae,0
Anilios broomi,Anilios,Typhlopidae,0
Anilios centralis,Anilios,Typhlopidae,0
Anilios chamodracaena,Anilios,Typhlopidae,0
Anilios diversus,Anilios,Typhlopidae,0
Anilios endoterus,Anilios,Typhlopidae,0
Anilios erycinus,Anilios,Typhlopidae,0
Anilios fossor,Anilios,Typhlopidae,0
Anilios ganei,Anilios,Typhlopidae,0
Anilios grypus,Anilios,Typhlopidae,0
Anilios guentheri,Anilios,Typhlopidae,0
Anilios hamatus,Anilios,Typhlopidae,0
Anilios howi,Anilios,Typhlopidae,0
Anilios insperatus,Anilios,Typhlopidae,0
Anilios kimberleyensis,Anilios,Typhlopidae,0
Anilios leptosoma,Anilios,Typhlopidae,0
Anilios leucoproctus,Anilios,Typhlopidae,0
Anilios ligatus,Anilios,Typhlopidae,0
Anilios longissimus,Anilios,Typhlopidae,0
Anilios margaretae,Anilios,Typhlopidae,0
Anilios micromma,Anilios,Typhlopidae,0
Anilios minimus,Anilios,Typhlopidae,0
Anilios nema,Anilios,Typhlopidae,0
Anilios nigrescens,Anilios,Typhlopidae,0
Anilios obtusifrons,Anilios,Typhlopidae,0
Anilios pilbarensis,Anilios,Typhlopidae,0
Anilios pinguis,Anilios,Typhlopidae,0
Anilios proximus,Anilios,Typhlopidae,0
Anilios robertsi,Anilios,Typhlopidae,0
Anilios silvia,Anilios,Typhlopidae,0
Anilios splendidus,Anilios,Typhlopidae,0
Anilios systenos,Anilios,Typhlopidae,0
Anilios torresianus,Anilios,Typhlopidae,0
Anilios tovelli,Anilios,Typhlopidae,0
Anilios troglodytes,Anilios,Typhlopidae,0
Anilios unguirostris,Anilios,Typhlopidae,0
Anilios vagurima,Anilios,Typhlopidae,0
Anilios waitii,Anilios,Typhlopidae,0
Anilios wiedii,Anilios,Typhlopidae,0
Anilios yampiensis,Anilios,Typhlopidae,0
Anilios yirrikalae,Anilios,Typhlopidae,0
Anilios zonula,Anilios,Typhlopidae,0
Anilius scytale,Anilius,Aniliidae,0
Anomalepis aspinosus,Anomalepis,Anomalepididae,0
Anomalepis colombia,Anomalepis,Anomalepididae,0
Anomalepis flavapices,Anomalepis,Anomalepididae,0
Anomalepis mexicanus,Anomalepis,Anomalepididae,0
Anomochilus leonardi,Anomochilus,Anomochilidae,0
Anomochilus monticola,Anomochilus,Anomochilidae,0
Anomochilus weberi,Anomochilus,Anomochilidae,0
Anoplohydrus aemulans,Anoplohydrus,Colubridae,0
Antaioserpens albiceps,Antaioserpens,Elapidae,0
Antaioserpens warro,Antaioserpens,Elapidae,0
Antaresia childreni,Antaresia,Pythonidae,0
Antaresia maculosa,Antaresia,Pythonidae,0
Antaresia perthensis,Antaresia,Pythonidae,0
Antaresia stimsoni,Antaresia,Pythonidae,0
Antillotyphlops annae,Antillotyphlops,Typhlopidae,0
Antillotyphlops catapontus,Antillotyphlops,Typhlopidae,0
Antillotyphlops dominicanus,Antillotyphlops,Typhlopidae,0
Antillotyphlops geotomus,Antillotyphlops,Typhlopidae,0
Antillotyphlops granti,Antillotyphlops,Typhlopidae,0
Antillotyphlops guadeloupensis,Antillotyphlops,Typhlopidae,0
Antillotyphlops hypomethes,Antillotyphlops,Typhlopidae,0
Antillotyphlops monastus,Antillotyphlops,Typhlopidae,0
Antillotyphlops monensis,Antillotyphlops,Typhlopidae,0
Antillotyphlops naugus,Antillotyphlops,Typhlopidae,0
Antillotyphlops platycephalus,Antillotyphlops,Typhlopidae,0
Antillotyphlops richardi,Antillotyphlops,Typhlopidae,0
Aparallactus capensis,Aparallactus,Lamprophiidae,0
Aparallactus guentheri,Aparallactus,Lamprophiidae,0
Aparallactus jacksonii,Aparallactus,Lamprophiidae,0
Aparallactus lineatus,Aparallactus,Lamprophiidae,0
Aparallactus lunulatus,Aparallactus,Lamprophiidae,0
Aparallactus modestus,Aparallactus,Lamprophiidae,0
Aparallactus moeruensis,Aparallactus,Lamprophiidae,0
Aparallactus niger,Aparallactus,Lamprophiidae,0
Aparallactus nigriceps,Aparallactus,Lamprophiidae,0
Aparallactus turneri,Aparallactus,Lamprophiidae,0
Aparallactus werneri,Aparallactus,Lamprophiidae,0
Aplopeltura boa,Aplopeltura,Pareidae,0
Apodora papuana,Apodora,Pythonidae,0
Apostolepis adhara,Apostolepis,Colubridae,0
Apostolepis albicollaris,Apostolepis,Colubridae,0
Apostolepis ambiniger,Apostolepis,Colubridae,0
Apostolepis arenaria,Apostolepis,Colubridae,0
Apostolepis assimilis,Apostolepis,Colubridae,0
Apostolepis borellii,Apostolepis,Colubridae,0
Apostolepis breviceps,Apostolepis,Colubridae,0
Apostolepis cearensis,Apostolepis,Colubridae,0
Apostolepis cerradoensis,Apostolepis,Colubridae,0
Apostolepis christineae,Apostolepis,Colubridae,0
Apostolepis dimidiata,Apostolepis,Colubridae,0
Apostolepis dorbignyi,Apostolepis,Colubridae,0
Apostolepis flavotorquata,Apostolepis,Colubridae,0
Apostolepis gaboi,Apostolepis,Colubridae,0
Apostolepis goiasensis,Apostolepis,Colubridae,0
Apostolepis intermedia,Apostolepis,Colubridae,0
Apostolepis kikoi,Apostolepis,Colubridae,0
Apostolepis lineata,Apostolepis,Colubridae,0
Apostolepis longicaudata,Apostolepis,Colubridae,0
Apostolepis multicincta,Apostolepis,Colubridae,0
Apostolepis nelsonjorgei,Apostolepis,Colubridae,0
Apostolepis niceforoi,Apostolepis,Colubridae,0
Apostolepis nigrolineata,Apostolepis,Colubridae,0
Apostolepis nigroterminata,Apostolepis,Colubridae,0
Apostolepis phillipsae,Apostolepis,Colubridae,0
Apostolepis polylepis,Apostolepis,Colubridae,0
Apostolepis pymi,Apostolepis,Colubridae,0
Apostolepis quirogai,Apostolepis,Colubridae,0
Apostolepis sanctaeritae,Apostolepis,Colubridae,0
Apostolepis serrana,Apostolepis,Colubridae,0
Apostolepis striata,Apostolepis,Colubridae,0
Apostolepis tenuis,Apostolepis,Colubridae,0
Apostolepis tertulianobeui,Apostolepis,Colubridae,0
Apostolepis thalesdelemai,Apostolepis,Colubridae,0
Apostolepis underwoodi,Apostolepis,Colubridae,0
Apostolepis vittata,Apostolepis,Colubridae,0
Aprosdoketophis andreonei,Aprosdoketophis,Colubridae,0
Arcanumophis problematicus,Arcanumophis,Colubridae,0
Archelaphe bella,Archelaphe,Colubridae,0
Argyrogena fasciolata,Argyrogena,Colubridae,0
Argyrogena vittacaudata,Argyrogena,Colubridae,0
Argyrophis bothriorhynchus,Argyrophis,Typhlopidae,0
Argyrophis diardii,Argyrophis,Typhlopidae,0
Argyrophis fuscus,Argyrophis,Typhlopidae,0
Argyrophis giadinhensis,Argyrophis,Typhlopidae,0
Argyrophis hypsobothrius,Argyrophis,Typhlopidae,0
Argyrophis klemmeri,Argyrophis,Typhlopidae,0
Argyrophis koshunensis,Argyrophis,Typhlopidae,0
Argyrophis muelleri,Argyrophis,Typhlopidae,0
Argyrophis oatesii,Argyrophis,Typhlopidae,0
Argyrophis roxaneae,Argyrophis,Typhlopidae,0
Argyrophis siamensis,Argyrophis,Typhlopidae,0
Argyrophis trangensis,Argyrophis,Typhlopidae,0
Arizona elegans,Arizona,Colubridae,0
Arizona pacata,Arizona,Colubridae,0
Arrhyton ainictum,Arrhyton,Colubridae,0
Arrhyton dolichura,Arrhyton,Colubridae,0
Arrhyton procerum,Arrhyton,Colubridae,0
Arrhyton redimitum,Arrhyton,Colubridae,0
Arrhyton supernum,Arrhyton,Colubridae,0
Arrhyton taeniatum,Arrhyton,Colubridae,0
Arrhyton tanyplectum,Arrhyton,Colubridae,0
Arrhyton vittatum,Arrhyton,Colubridae,0
Aspidelaps lubricus,Aspidelaps,Elapidae,0
Aspidelaps scutatus,Aspidelaps,Elapidae,0
Aspidites melanocephalus,Aspidites,Pythonidae,0
Aspidites ramsayi,Aspidites,Pythonidae,0
Aspidomorphus lineaticollis,Aspidomorphus,Elapidae,0
Aspidomorphus muelleri,Aspidomorphus,Elapidae,0
Aspidomorphus schlegelii,Aspidomorphus,Elapidae,0
Aspidura brachyorrhos,Aspidura,Colubridae,0
Aspidura ceylonensis,Aspidura,Colubridae,0
Aspidura copei,Aspidura,Colubridae,0
Aspidura deraniyagalae,Aspidura,Colubridae,0
Aspidura desilvai,Aspidura,Colubridae,0
Aspidura drummondhayi,Aspidura,Colubridae,0
Aspidura guentheri,Aspidura,Colubridae,0
Aspidura ravanai,Aspidura,Colubridae,0
Aspidura trachyprocta,Aspidura,Colubridae,0
Asthenodipsas borneensis,Asthenodipsas,Pareidae,0
Asthenodipsas jamilinaisi,Asthenodipsas,Pareidae,0
Asthenodipsas laevis,Asthenodipsas,Pareidae,0
Asthenodipsas lasgalenensis,Asthenodipsas,Pareidae,0
Asthenodipsas malaccanus,Asthenodipsas,Pareidae,0
Asthenodipsas stuebingi,Asthenodipsas,Pareidae,0
Asthenodipsas tropidonotus,Asthenodipsas,Pareidae,0
Asthenodipsas vertebralis,Asthenodipsas,Pareidae,0
Atheris acuminata,Atheris,Viperidae,1
Atheris anisolepis,Atheris,Viperidae,1
Atheris barbouri,Atheris,Viperidae,1
Atheris broadleyi,Atheris,Viperidae,1
Atheris ceratophora,Atheris,Viperidae,1
Atheris chlorechis,Atheris,Viperidae,1
Atheris desaixi,Atheris,Viperidae,1
Atheris hetfieldi,Atheris,Viperidae,1
Atheris hirsuta,Atheris,Viperidae,1
Atheris hispida,Atheris,Viperidae,1
Atheris katangensis,Atheris,Viperidae,1
Atheris mabuensis,Atheris,Viperidae,1
Atheris matildae,Atheris,Viperidae,1
Atheris mongoensis,Atheris,Viperidae,1
Atheris nitschei,Atheris,Viperidae,1
Atheris rungweensis,Atheris,Viperidae,1
Atheris squamigera,Atheris,Viperidae,1
Atheris subocularis,Atheris,Viperidae,1
Atractaspis andersonii,Atractaspis,Lamprophiidae,1
Atractaspis aterrima,Atractaspis,Lamprophiidae,1
Atractaspis battersbyi,Atractaspis,Lamprophiidae,1
Atractaspis bibronii,Atractaspis,Lamprophiidae,1
Atractaspis boulengeri,Atractaspis,Lamprophiidae,1
Atractaspis branchi,Atractaspis,Lamprophiidae,1
Atractaspis congica,Atractaspis,Lamprophiidae,1
Atractaspis corpulenta,Atractaspis,Lamprophiidae,1
Atractaspis dahomeyensis,Atractaspis,Lamprophiidae,1
Atractaspis duerdeni,Atractaspis,Lamprophiidae,1
Atractaspis engaddensis,Atractaspis,Lamprophiidae,1
Atractaspis engdahli,Atractaspis,Lamprophiidae,1
Atractaspis fallax,Atractaspis,Lamprophiidae,1
Atractaspis irregularis,Atractaspis,Lamprophiidae,1
Atractaspis leucomelas,Atractaspis,Lamprophiidae,1
Atractaspis magrettii,Atractaspis,Lamprophiidae,1
Atractaspis microlepidota,Atractaspis,Lamprophiidae,1
Atractaspis micropholis,Atractaspis,Lamprophiidae,1
Atractaspis phillipsi,Atractaspis,Lamprophiidae,1
Atractaspis reticulata,Atractaspis,Lamprophiidae,1
Atractaspis scorteccii,Atractaspis,Lamprophiidae,1
Atractaspis watsoni,Atractaspis,Lamprophiidae,1
Atractus aboiporu,Atractus,Colubridae,0
Atractus acheronius,Atractus,Colubridae,0
Atractus albuquerquei,Atractus,Colubridae,0
Atractus alphonsehogei,Atractus,Colubridae,0
Atractus altagratiae,Atractus,Colubridae,0
Atractus alytogrammus,Atractus,Colubridae,0
Atractus andinus,Atractus,Colubridae,0
Atractus apophis,Atractus,Colubridae,0
Atractus atlas,Atractus,Colubridae,0
Atractus atratus,Atractus,Colubridae,0
Atractus attenuates,Atractus,Colubridae,0
Atractus avernus,Atractus,Colubridae,0
Atractus ayeush,Atractus,Colubridae,0
Atractus badius,Atractus,Colubridae,0
Atractus biseriatus,Atractus,Colubridae,0
Atractus bocki,Atractus,Colubridae,0
Atractus bocourti,Atractus,Colubridae,0
Atractus boimirim,Atractus,Colubridae,0
Atractus boulengerii,Atractus,Colubridae,0
Atractus caete,Atractus,Colubridae,0
Atractus careolepis,Atractus,Colubridae,0
Atractus carrioni,Atractus,Colubridae,0
Atractus caxiuana,Atractus,Colubridae,0
Atractus cerberus,Atractus,Colubridae,0
Atractus charitoae,Atractus,Colubridae,0
Atractus chthonius,Atractus,Colubridae,0
Atractus clarki,Atractus,Colubridae,0
Atractus collaris,Atractus,Colubridae,0
Atractus crassicaudatus,Atractus,Colubridae,0
Atractus dapsilis,Atractus,Colubridae,0
Atractus darienensis,Atractus,Colubridae,0
Atractus depressiocellus,Atractus,Colubridae,0
Atractus duboisi,Atractus,Colubridae,0
Atractus duidensis,Atractus,Colubridae,0
Atractus dunni,Atractus,Colubridae,0
Atractus echidna,Atractus,Colubridae,0
Atractus ecuadorensis,Atractus,Colubridae,0
Atractus edioi,Atractus,Colubridae,0
Atractus elaps,Atractus,Colubridae,0
Atractus emigdioi,Atractus,Colubridae,0
Atractus emmeli,Atractus,Colubridae,0
Atractus eriki,Atractus,Colubridae,0
Atractus erythromelas,Atractus,Colubridae,0
Atractus esepe,Atractus,Colubridae,0
Atractus favae,Atractus,Colubridae,0
Atractus flammigerus,Atractus,Colubridae,0
Atractus franciscopaivai,Atractus,Colubridae,0
Atractus francoi,Atractus,Colubridae,0
Atractus fuliginosus,Atractus,Colubridae,0
Atractus gaigeae,Atractus,Colubridae,0
Atractus gigas,Atractus,Colubridae,0
Atractus guentheri,Atractus,Colubridae,0
Atractus heliobelluomini,Atractus,Colubridae,0
Atractus heyeri,Atractus,Colubridae,0
Atractus hoogmoedi,Atractus,Colubridae,0
Atractus hostilitractus,Atractus,Colubridae,0
Atractus imperfectus,Atractus,Colubridae,0
Atractus indistinctus,Atractus,Colubridae,0
Atractus insipidus,Atractus,Colubridae,0
Atractus iridescens,Atractus,Colubridae,0
Atractus lancinii,Atractus,Colubridae,0
Atractus lasallei,Atractus,Colubridae,0
Atractus latifrons,Atractus,Colubridae,0
Atractus lehmanni,Atractus,Colubridae,0
Atractus loveridgei,Atractus,Colubridae,0
Atractus macondo,Atractus,Colubridae,0
Atractus maculatus,Atractus,Colubridae,0
Atractus major,Atractus,Colubridae,0
Atractus manizalesensis,Atractus,Colubridae,0
Atractus mariselae,Atractus,Colubridae,0
Atractus marthae,Atractus,Colubridae,0
Atractus matthewi,Atractus,Colubridae,0
Atractus medusa,Atractus,Colubridae,0
Atractus melanogaster,Atractus,Colubridae,0
Atractus melas,Atractus,Colubridae,0
Atractus meridensis,Atractus,Colubridae,0
Atractus micheleae,Atractus,Colubridae,0
Atractus microrhynchus,Atractus,Colubridae,0
Atractus mijaresi,Atractus,Colubridae,0
Atractus modestus,Atractus,Colubridae,0
Atractus multicinctus,Atractus,Colubridae,0
Atractus multidentatus,Atractus,Colubridae,0
Atractus nasutus,Atractus,Colubridae,0
Atractus natans,Atractus,Colubridae,0
Atractus nicefori,Atractus,Colubridae,0
Atractus nigricaudus,Atractus,Colubridae,0
Atractus nigriventris,Atractus,Colubridae,0
Atractus obesus,Atractus,Colubridae,0
Atractus obtusirostris,Atractus,Colubridae,0
Atractus occidentalis,Atractus,Colubridae,0
Atractus occipitoalbus,Atractus,Colubridae,0
Atractus ochrosetrus,Atractus,Colubridae,0
Atractus oculotemporalis,Atractus,Colubridae,0
Atractus orcesi,Atractus,Colubridae,0
Atractus paisa,Atractus,Colubridae,0
Atractus pamplonensis,Atractus,Colubridae,0
Atractus pantostictus,Atractus,Colubridae,0
Atractus paraguayensis,Atractus,Colubridae,0
Atractus paucidens,Atractus,Colubridae,0
Atractus pauciscutatus,Atractus,Colubridae,0
Atractus peruvianus,Atractus,Colubridae,0
Atractus poeppigi,Atractus,Colubridae,0
Atractus potschi,Atractus,Colubridae,0
Atractus punctiventris,Atractus,Colubridae,0
Atractus pyroni,Atractus,Colubridae,0
Atractus resplendens,Atractus,Colubridae,0
Atractus reticulatus,Atractus,Colubridae,0
Atractus riveroi,Atractus,Colubridae,0
Atractus ronnie,Atractus,Colubridae,0
Atractus roulei,Atractus,Colubridae,0
Atractus sanctaemartae,Atractus,Colubridae,0
Atractus sanguineus,Atractus,Colubridae,0
Atractus savagei,Atractus,Colubridae,0
Atractus schach,Atractus,Colubridae,0
Atractus serranus,Atractus,Colubridae,0
Atractus snethlageae,Atractus,Colubridae,0
Atractus spinalis,Atractus,Colubridae,0
Atractus steyermarki,Atractus,Colubridae,0
Atractus stygius,Atractus,Colubridae,0
Atractus surucucu,Atractus,Colubridae,0
Atractus tamaensis,Atractus,Colubridae,0
Atractus tamessari,Atractus,Colubridae,0
Atractus taphorni,Atractus,Colubridae,0
Atractus tartarus,Atractus,Colubridae,0
Atractus thalesdelemai,Atractus,Colubridae,0
Atractus titanicus,Atractus,Colubridae,0
Atractus torquatus,Atractus,Colubridae,0
Atractus touzeti,Atractus,Colubridae,0
Atractus trefauti,Atractus,Colubridae,0
Atractus trihedrurus,Atractus,Colubridae,0
Atractus trilineatus,Atractus,Colubridae,0
Atractus trivittatus,Atractus,Colubridae,0
Atractus turikensis,Atractus,Colubridae,0
Atractus typhon,Atractus,Colubridae,0
Atractus variegatus,Atractus,Colubridae,0
Atractus ventrimaculatus,Atractus,Colubridae,0
Atractus vertebralis,Atractus,Colubridae,0
Atractus vertebrolineatus,Atractus,Colubridae,0
Atractus vittatus,Atractus,Colubridae,0
Atractus wagleri,Atractus,Colubridae,0
Atractus werneri,Atractus,Colubridae,0
Atractus zebrinus,Atractus,Colubridae,0
Atractus zidoki,Atractus,Colubridae,0
Atretium schistosum,Atretium,Colubridae,0
Atretium yunnanensis,Atretium,Colubridae,0
Atropoides picadoi,Atropoides,Viperidae,1
Austrelaps labialis,Austrelaps,Elapidae,1
Austrelaps ramsayi,Austrelaps,Elapidae,1
Austrelaps superbus,Austrelaps,Elapidae,1
Azemiops feae,Azemiops,Viperidae,0
Azemiops kharini,Azemiops,Viperidae,0
Baliodryas steinbachi,Baliodryas,Colubridae,0
Bamanophis dorri,Bamanophis,Colubridae,0
Bitia hydroides,Bitia,Homalopsidae,0
Bitis albanica,Bitis,Viperidae,1
Bitis arietans,Bitis,Viperidae,1
Bitis armata,Bitis,Viperidae,1
Bitis atropos,Bitis,Viperidae,1
Bitis caudalis,Bitis,Viperidae,1
Bitis cornuta,Bitis,Viperidae,1
Bitis gabonica,Bitis,Viperidae,1
Bitis harenna,Bitis,Viperidae,1
Bitis heraldica,Bitis,Viperidae,1
Bitis inornata,Bitis,Viperidae,1
Bitis nasicornis,Bitis,Viperidae,1
Bitis parviocula,Bitis,Viperidae,1
Bitis peringueyi,Bitis,Viperidae,1
Bitis rhinoceros,Bitis,Viperidae,1
Bitis rubida,Bitis,Viperidae,1
Bitis schneideri,Bitis,Viperidae,1
Bitis worthingtoni,Bitis,Viperidae,1
Bitis xeropaga,Bitis,Viperidae,1
